"","state","code","pop_2014","date","fips","cases","deaths"
"44720","South Carolina","SC",4832482,"2021-09-19",45,819204,11614
"44721","South Carolina","SC",4832482,"2021-09-30",45,857386,12472
"44722","South Carolina","SC",4832482,"2020-03-07",45,2,0
"44723","South Carolina","SC",4832482,"2021-03-19",45,538801,8966
"44724","South Carolina","SC",4832482,"2021-11-27",45,915671,14186
"44725","South Carolina","SC",4832482,"2022-10-25",45,1721693,18578
"44726","South Carolina","SC",4832482,"2020-11-12",45,190490,4084
"44727","South Carolina","SC",4832482,"2021-04-18",45,569279,9336
"44728","South Carolina","SC",4832482,"2023-01-12",45,1791933,19538
"44729","South Carolina","SC",4832482,"2020-10-14",45,159809,3593
"44730","South Carolina","SC",4832482,"2022-11-14",45,1729333,19235
"44731","South Carolina","SC",4832482,"2021-02-25",45,511546,8443
"44732","South Carolina","SC",4832482,"2020-11-06",45,182872,4005
"44733","South Carolina","SC",4832482,"2021-06-06",45,594130,9754
"44734","South Carolina","SC",4832482,"2021-04-15",45,566018,9307
"44735","South Carolina","SC",4832482,"2022-10-03",45,1708074,18365
"44736","South Carolina","SC",4832482,"2021-02-23",45,506912,8357
"44737","South Carolina","SC",4832482,"2022-12-04",45,1738379,19274
"44738","South Carolina","SC",4832482,"2020-08-29",45,117249,2698
"44739","South Carolina","SC",4832482,"2022-09-14",45,1696746,18316
"44740","South Carolina","SC",4832482,"2021-10-21",45,890003,13412
"44741","South Carolina","SC",4832482,"2020-03-10",45,9,0
"44742","South Carolina","SC",4832482,"2022-12-19",45,1751646,19346
"44743","South Carolina","SC",4832482,"2020-12-07",45,234652,4579
"44744","South Carolina","SC",4832482,"2020-08-03",45,92951,1793
"44745","South Carolina","SC",4832482,"2022-09-08",45,1687640,18299
"44746","South Carolina","SC",4832482,"2020-05-09",45,7531,330
"44747","South Carolina","SC",4832482,"2020-03-25",45,425,8
"44748","South Carolina","SC",4832482,"2022-09-27",45,1708074,18365
"44749","South Carolina","SC",4832482,"2020-10-18",45,163990,3650
"44750","South Carolina","SC",4832482,"2020-11-09",45,186391,4041
"44751","South Carolina","SC",4832482,"2020-08-28",45,115951,2655
"44752","South Carolina","SC",4832482,"2020-11-11",45,188995,4076
"44753","South Carolina","SC",4832482,"2022-12-03",45,1738379,19274
"44754","South Carolina","SC",4832482,"2022-08-26",45,1661020,18245
"44755","South Carolina","SC",4832482,"2020-08-23",45,111988,2504
"44756","South Carolina","SC",4832482,"2022-08-14",45,1637108,18215
"44757","South Carolina","SC",4832482,"2022-08-22",45,1650748,18227
"44758","South Carolina","SC",4832482,"2020-07-02",45,39701,784
"44759","South Carolina","SC",4832482,"2022-10-08",45,1712281,18390
"44760","South Carolina","SC",4832482,"2022-11-11",45,1729333,19235
"44761","South Carolina","SC",4832482,"2021-02-27",45,515072,8498
"44762","South Carolina","SC",4832482,"2021-04-13",45,564128,9289
"44763","South Carolina","SC",4832482,"2021-02-19",45,497937,8213
"44764","South Carolina","SC",4832482,"2021-11-02",45,899912,13766
"44765","South Carolina","SC",4832482,"2022-12-29",45,1770059,19385
"44766","South Carolina","SC",4832482,"2022-09-30",45,1708074,18365
"44767","South Carolina","SC",4832482,"2021-03-21",45,541582,9007
"44768","South Carolina","SC",4832482,"2020-08-07",45,98219,1962
"44769","South Carolina","SC",4832482,"2022-10-01",45,1708074,18365
"44770","South Carolina","SC",4832482,"2022-12-18",45,1751646,19346
"44771","South Carolina","SC",4832482,"2022-12-05",45,1738379,19274
"44772","South Carolina","SC",4832482,"2022-12-31",45,1770059,19385
"44773","South Carolina","SC",4832482,"2022-08-23",45,1661020,18245
"44774","South Carolina","SC",4832482,"2022-08-21",45,1650748,18227
"44775","South Carolina","SC",4832482,"2021-01-01",45,307507,5296
"44776","South Carolina","SC",4832482,"2022-10-04",45,1712281,18390
"44777","South Carolina","SC",4832482,"2022-10-17",45,1715434,18468
"44778","South Carolina","SC",4832482,"2021-10-07",45,872011,12856
"44779","South Carolina","SC",4832482,"2020-10-19",45,164609,3661
"44780","South Carolina","SC",4832482,"2022-10-24",45,1718600,18527
"44781","South Carolina","SC",4832482,"2021-10-01",45,860369,12570
"44782","South Carolina","SC",4832482,"2022-10-20",45,1718600,18527
